6210	成
6211	我
6212	戒
6216	或
6218	战
621A	戚
621F	戟
622A	截
6234	戴
6237	户
623F	房
6240	所
6241	扁
6247	扇
6249	扉
624B	手
624D	才
624E	扎
6251	扑
6252	扒
6253	打
6254	扔
6258	托
625B	扛
6263	扣
6267	执
6269	扩
626B	扫
626C	扬
626D	扭
626E	扮
626F	扯
6270	扰
6273	扳
6276	扶
6279	批
627E	找
627F	承
6280	技
6284	抄
6289	抉
628A	把
6291	抑
6292	抒
6293	抓
6295	投
6296	抖
6297	抗
6298	折
629A	抚
629B	抛
62A0	抠
62A1	抡
62A2	抢
62A4	护
62A5	报
62AB	披
62AC	抬
62B1	抱
62B5	抵
62B9	抹
62BC	押
62BD	抽
62C2	拂
62C5	担
62C6	拆
62C7	拇
62C9	拉
62CC	拌
62CD	拍
62D0	拐
62D2	拒
62D3	拓
62D4	拔
62D6	拖
62D7	拗
62D8	拘
62D9	拙
62DB	招
62DC	拜
62DF	拟
62E2	拢
62E5	拥
62E6	拦
62E7	拧
62E8	拨
62E9	择
62EC	括
62ED	拭
62EF	拯
62F1	拱
62F3	拳
62F7	拷
62FC	拼
62FE	拾
62FF	拿
6301	持
6302	挂
6307	指
6309	按
6311	挑
6316	挖
631A	挚
631D	挝
6320	挠
6321	挡
6323	挣
6324	挤
6325	挥
6328	挨
632A	挪
632B	挫
632F	振
633A	挺
633D	挽
6342	捂
6346	捆
6349	捉
634F	捏
6350	捐
6355	捕
635F	损
6361	捡
6362	换
6363	捣
6367	捧
636E	据
6377	捷
6380	掀
6388	授
6389	掉
638C	掌
638F	掏
6392	排
6398	掘
63A0	掠
63A2	探
63A5	接
63A7	控
63A8	推
63A9	掩
63AA	措
63B7	掷
63BA	掺
63C9	揉
63CD	揍
63CF	描
63D0	提
63D2	插
63E1	握
63E3	揣
63ED	揭
63F4	援
6401	搁
6405	搅
640F	搏
6410	搐
6414	搔
641C	搜
641E	搞
642C	搬
642D	搭
643A	携
6441	摁
6444	摄
6446	摆
6447	摇
6452	摒
6454	摔
6458	摘
6467	摧
6469	摩
6478	摸
6491	撑
6492	撒
6495	撕
649E	撞
64A4	撤
64AD	播
64BC	撼
64C2	擂
64C5	擅
64CD	操
64CE	擎
64DE	擞
64E6	擦
6500	攀
6512	攒
6518	攘
652F	支
6536	收
6539	改
653B	攻
653E	放
653F	政
6545	故
6548	效
654C	敌
654F	敏
6551	救
6559	教
655B	敛
655E	敞
6562	敢
6563	散
6566	敦
656C	敬
6570	数
6572	敲
6574	整
6577	敷
6587	文
658B	斋
6590	斐
6591	斑
6597	斗
6599	料
659C	斜
65A4	斤
65A5	斥
65A7	斧
65A9	斩
65AD	断
65AF	斯
65B0	新
65B9	方
65BD	施
65C1	旁
65C5	旅
65CB	旋
65CF	族
65D7	旗
65E0	无
65E2	既
65E5	日
65E6	旦
65E7	旧
65E8	旨
65E9	早
65F6	时
65F7	旷
65FA	旺
6602	昂
6606	昆
660C	昌
660E	明
660F	昏
6613	易
6614	昔
661F	星
6620	映
6625	春
6627	昧
6628	昨
662D	昭
662F	是
6635	昵
663C	昼
663E	显
6643	晃
664B	晋
6652	晒
6653	晓
6655	晕
665A	晚
6668	晨
666E	普
666F	景
6670	晰
6674	晴
6676	晶
667A	智
667E	晾
6682	暂
6684	暄
6687	暇
6691	暑
6696	暖
6697	暗
66A7	暧
66AE	暮
66B4	暴
66B9	暹
66DC	曜
66F2	曲
66F3	曳
66F4	更
66FC	曼
66FE	曾
66FF	替
6700	最
6708	月
6709	有
670B	朋
670D	服
6714	朔
6717	朗
671B	望
671D	朝
671F	期
6728	木
672A	未
672B	末
672C	本
672D	札
672F	术
6731	朱
6734	朴
6735	朵
673A	机
673D	朽
6740	杀
6742	杂
6743	权
6746	杆
6749	杉
674E	李
674F	杏
6750	材
6751	村
6756	杖
675C	杜
675F	束
6761	条
6765	来
6768	杨
676F	杯
6770	杰
6775	杵
6777	杷
677E	松
677F	板
6781	极
6784	构
6787	枇
6789	枉
6790	析
6795	枕
6797	林
679A	枚
679C	果
679D	枝
67AA	枪
67AB	枫
67AF	枯
67B6	架
67B8	枸
67C4	柄
67CF	柏
67D0	某
67D1	柑
67D3	染
67D4	柔
67DA	柚
67DC	柜
67E0	柠
67E5	查
67EC	柬
67EF	柯
67F1	柱
67F3	柳
67F4	柴
67FF	柿
6803	栃
6805	栅
6807	标
6808	栈
6809	栉
680B	栋
680F	栏
6811	树
6816	栖
6817	栗
6821	校
6837	样
6838	核
6839	根
683C	格
683D	栽
6842	桂
6843	桃
6846	框
6848	案
684C	桌
6850	桐
6851	桑
6854	桔
6863	档
6865	桥
6868	桨
6876	桶
6881	梁
6885	梅
6886	梆
6897	梗
68A6	梦
68A7	梧
68A8	梨
68AD	梭
68AF	梯
68B0	械
68B3	梳
68B5	梵
68C0	检
68C9	棉
68CB	棋
68CD	棍
68D2	棒
68D5	棕
68D8	棘
68E0	棠
68EE	森
68F1	棱
68F5	棵
68FA	棺
6905	椅
690B	椋
690D	植
690E	椎
692D	椭
692E	椮
6930	椰
693F	椿
6954	楔
695A	楚
6960	楠
6962	楢
696D	業
697C	楼
6982	概
6984	榄
6988	榈
699B	榛
699C	榜
69A8	榨
69B4	榴
69CC	槌
69D9	槙
69DF	槟
69FD	槽
6A21	模
6A2A	横
6A31	樱
6A3D	樽
6A44	橄
6A58	橘
6A59	橙
6A61	橡
6A80	檀
6A90	檐
6AAC	檬
6B20	欠
6B21	次
6B22	欢
6B23	欣
6B27	欧
6B32	欲
6B38	欸
6B3A	欺
6B3E	款
6B47	歇
6B49	歉
6B4C	歌
6B62	止
6B63	正
6B64	此
6B65	步
6B66	武
6B6A	歪
6B79	歹
6B7B	死
6B86	殆
6B8A	殊
6B8B	残
6B96	殖
6BB4	殴
6BB5	段
6BBF	殿
6BC1	毁
6BC5	毅
6BCD	母
6BCE	毎
6BCF	每
6BD2	毒
6BD4	比
6BD5	毕
6BD9	毙
6BDB	毛
6BEB	毫
6BEF	毯
6BFD	毽
6C0F	氏
6C11	民
6C13	氓
6C14	气
6C17	気
6C1B	氛
6C27	氧
6C34	水
6C38	永
6C41	汁
6C42	求
6C47	汇
6C49	汉
6C50	汐
6C57	汗
6C5D	汝
6C5F	江
6C60	池
6C61	污
6C64	汤
6C6A	汪
6C70	汰
6C72	汲
6C76	汶
6C79	汹
6C7D	汽
6C81	沁
6C83	沃
6C88	沈
6C89	沉
6C8C	沌
6C90	沐
6C99	沙
6C9B	沛
6C9F	沟
6CA1	没
6CA5	沥
6CAB	沫
6CAE	沮
6CB3	河
6CB8	沸
6CB9	油
6CBB	治
6CBC	沼
6CBE	沾
6CBF	沿
6CC4	泄
6CC9	泉
6CCA	泊
6CCC	泌
6CD5	法
6CDB	泛
6CDE	泞
6CE1	泡
6CE2	波
6CE3	泣
6CE5	泥
6CE8	注
6CEA	泪
6CF0	泰
6CF3	泳
6CF5	泵
6CF7	泷
6CF8	泸
6CFC	泼
6CFD	泽
6CFE	泾
6D01	洁
6D0B	洋
6D12	洒
6D17	洗
6D1B	洛
6D1E	洞
6D25	津
6D2A	洪
6D3B	活
6D3C	洼
6D3D	洽
6D3E	派
6D41	流
6D45	浅
6D46	浆
6D47	浇
6D4A	浊
6D4B	测
6D4E	济
6D4F	浏
6D51	浑
6D53	浓
